game_index,white_agent,black_agent,winner,white_won,black_won,draw,moves,termination_reason,white_avg_nodes,black_avg_nodes,white_avg_time,black_avg_time,total_avg_nodes,total_avg_time
89,Agent_enemy_king_danger,Agent_center_control,w,1,0,0,33,king_exploded,787.35,713.38,0.049143,0.031171,750.36,0.040157
90,Agent_enemy_king_danger,Agent_king_safety,w,1,0,0,25,king_exploded,685.77,564.08,0.036851,0.011437,624.93,0.024144
91,Agent_enemy_king_danger,Agent_material,w,1,0,0,25,king_exploded,655.0,639.83,0.039165,0.012803,647.42,0.025984
92,Agent_enemy_king_danger,Agent_mobility,b,0,1,0,6,checkmate,690.0,800.33,0.038808,0.067612,745.17,0.05321
93,Agent_enemy_king_danger,Agent_pawn_structure,draw,0,0,1,60,move_cap,498.77,478.03,0.026706,0.018897,488.4,0.022802
94,Agent_enemy_king_danger,Agent_piece_position,w,1,0,0,49,king_exploded,850.16,746.12,0.04883,0.016644,798.14,0.032737
95,Agent_enemy_king_danger,Agent_rook_activity,w,1,0,0,21,checkmate,656.18,656.3,0.035349,0.016023,656.24,0.025686
96,Agent_enemy_king_danger,Agent_bishop_pair__capture_threats,w,1,0,0,41,king_exploded,867.14,888.45,0.043996,0.093041,877.8,0.068519
97,Agent_enemy_king_danger,Agent_bishop_pair__center_control,w,1,0,0,33,king_exploded,787.35,713.38,0.050934,0.064497,750.36,0.057715
98,Agent_enemy_king_danger,Agent_bishop_pair__enemy_king_danger,b,0,1,0,26,king_exploded,538.92,639.08,0.028427,0.051837,589.0,0.040132
99,Agent_enemy_king_danger,Agent_bishop_pair__king_safety,w,1,0,0,25,king_exploded,685.77,564.08,0.038779,0.019071,624.93,0.028925
100,Agent_enemy_king_danger,Agent_bishop_pair__material,w,1,0,0,25,king_exploded,655.0,639.83,0.036045,0.018382,647.42,0.027213
101,Agent_enemy_king_danger,Agent_bishop_pair__mobility,b,0,1,0,6,checkmate,690.0,800.33,0.036726,0.075913,745.17,0.056319
102,Agent_enemy_king_danger,Agent_bishop_pair__pawn_structure,draw,0,0,1,60,move_cap,498.77,478.03,0.028698,0.02507,488.4,0.026884
103,Agent_enemy_king_danger,Agent_bishop_pair__piece_position,w,1,0,0,41,king_exploded,555.62,577.75,0.031064,0.018146,566.68,0.024605
104,Agent_enemy_king_danger,Agent_bishop_pair__rook_activity,w,1,0,0,21,checkmate,656.18,656.3,0.035533,0.023587,656.24,0.02956
105,Agent_enemy_king_danger,Agent_capture_threats__center_control,w,1,0,0,35,king_exploded,941.06,853.65,0.054029,0.114317,897.35,0.084173
106,Agent_enemy_king_danger,Agent_capture_threats__enemy_king_danger,w,1,0,0,33,king_exploded,547.53,569.25,0.030903,0.069646,558.39,0.050275
107,Agent_enemy_king_danger,Agent_capture_threats__king_safety,draw,0,0,1,60,move_cap,1096.0,1098.77,0.057276,0.115855,1097.38,0.086566
108,Agent_enemy_king_danger,Agent_capture_threats__material,draw,0,0,1,60,move_cap,501.13,665.33,0.026515,0.058127,583.23,0.042321
109,Agent_enemy_king_danger,Agent_capture_threats__mobility,b,0,1,0,46,checkmate,1134.83,1094.17,0.068215,0.200809,1114.5,0.134512
110,Agent_enemy_king_danger,Agent_capture_threats__pawn_structure,b,0,1,0,26,king_exploded,770.85,813.92,0.03853,0.095489,792.38,0.067009
111,Agent_enemy_king_danger,Agent_capture_threats__piece_position,w,1,0,0,15,king_exploded,678.75,703.86,0.03572,0.067576,691.3,0.051648
